reporterISO,refYear,flowCode,v2x_regime,primaryValue,share
ABW,2000,M,0.0,8902301.0,1.12
ABW,2000,M,1.0,26489850.0,3.34
ABW,2000,M,2.0,101317818.0,12.76
ABW,2000,M,3.0,657260068.0,82.78
ABW,2000,X,0.0,302553.0,0.19
ABW,2000,X,1.0,147044.0,0.09
ABW,2000,X,2.0,97171357.0,59.42
ABW,2000,X,3.0,65912980.0,40.31
ABW,2001,M,0.0,9948028.0,1.24
ABW,2001,M,1.0,6563654.0,0.82
ABW,2001,M,2.0,102270829.0,12.79
ABW,2001,M,3.0,681092492.0,85.15
ABW,2001,X,0.0,697262.0,0.51
ABW,2001,X,1.0,647257.0,0.48
ABW,2001,X,2.0,86754087.0,63.94
ABW,2001,X,3.0,47587749.0,35.07
ABW,2002,M,0.0,6089347.0,0.76
ABW,2002,M,1.0,24478813.0,3.04
ABW,2002,M,2.0,81026614.0,10.05
ABW,2002,M,3.0,694876522.0,86.16
ABW,2002,X,0.0,383173.0,0.33
ABW,2002,X,1.0,9886095.0,8.59
ABW,2002,X,2.0,50313960.0,43.73
ABW,2002,X,3.0,54465536.0,47.34
ABW,2003,M,0.0,7663423.0,0.95
ABW,2003,M,1.0,26882960.0,3.32
ABW,2003,M,2.0,83014182.0,10.25
ABW,2003,M,3.0,692557356.0,85.49
ABW,2003,X,0.0,155352.0,0.22
ABW,2003,X,1.0,9199944.0,12.91
ABW,2003,X,2.0,22171631.0,31.11
ABW,2003,X,3.0,39752458.0,55.77
ABW,2004,M,0.0,9836134.0,1.17
ABW,2004,M,1.0,29342274.0,3.5
ABW,2004,M,2.0,93201498.0,11.11
ABW,2004,M,3.0,706855582.0,84.23
ABW,2004,X,0.0,314459.0,0.46
ABW,2004,X,1.0,12128837.0,17.66
ABW,2004,X,2.0,22939771.0,33.4
ABW,2004,X,3.0,33298658.0,48.48
ABW,2005,M,0.0,11815805.0,1.19
ABW,2005,M,1.0,27651320.0,2.8
ABW,2005,M,2.0,107194348.0,10.84
ABW,2005,M,3.0,842570363.0,85.17
ABW,2005,X,0.0,153354.0,0.16
ABW,2005,X,1.0,10753859.0,11.24
ABW,2005,X,2.0,31869105.0,33.31
ABW,2005,X,3.0,52898573.0,55.29
ABW,2006,M,0.0,18010625.0,1.82
ABW,2006,M,1.0,28603865.0,2.88
ABW,2006,M,2.0,107817697.0,10.87
ABW,2006,M,3.0,837515557.0,84.43
ABW,2006,X,0.0,96529.0,0.1
ABW,2006,X,1.0,11598337.0,11.67
ABW,2006,X,2.0,38129438.0,38.36
ABW,2006,X,3.0,49568950.0,49.87
ABW,2007,M,0.0,27704191.0,2.59
ABW,2007,M,1.0,24579246.0,2.3
ABW,2007,M,2.0,119557563.0,11.18
ABW,2007,M,3.0,897439194.0,83.93
ABW,2007,X,0.0,408386.0,0.49
ABW,2007,X,1.0,10727372.0,12.94
ABW,2007,X,2.0,48611274.0,58.64
ABW,2007,X,3.0,23155943.0,27.93
ABW,2008,M,0.0,19212610.0,1.8
ABW,2008,M,1.0,19228505.0,1.8
ABW,2008,M,2.0,133940670.0,12.55
ABW,2008,M,3.0,894983662.0,83.85
ABW,2008,X,0.0,531735.0,0.63
ABW,2008,X,1.0,16882520.0,20.04
ABW,2008,X,2.0,44465017.0,52.78
ABW,2008,X,3.0,22367374.0,26.55
ABW,2009,M,0.0,21628882.0,2.05
ABW,2009,M,1.0,18967058.0,1.8
ABW,2009,M,2.0,122123604.0,11.6
ABW,2009,M,3.0,890436006.0,84.55
ABW,2009,X,0.0,167539.0,0.16
ABW,2009,X,1.0,17490530.0,17.13
ABW,2009,X,2.0,59370820.0,58.16
ABW,2009,X,3.0,25047018.0,24.54
ABW,2010,M,0.0,21029965.0,2.13
ABW,2010,M,1.0,16516010.0,1.67
ABW,2010,M,2.0,127959758.0,12.95
ABW,2010,M,3.0,822605788.0,83.25
ABW,2010,X,0.0,184048.0,0.18
ABW,2010,X,1.0,18749744.0,18.56
ABW,2010,X,2.0,65781905.0,65.11
ABW,2010,X,3.0,16314156.0,16.15
ABW,2011,M,0.0,27055542.0,2.31
ABW,2011,M,1.0,26125364.0,2.23
ABW,2011,M,2.0,145927100.0,12.45
ABW,2011,M,3.0,972881987.0,83.01
ABW,2011,X,0.0,368413.0,0.31
ABW,2011,X,1.0,30125478.0,25.46
ABW,2011,X,2.0,63238136.0,53.44
ABW,2011,X,3.0,24599055.0,20.79
ABW,2012,M,0.0,25813315.0,2.3
ABW,2012,M,1.0,13989774.0,1.25
ABW,2012,M,2.0,153276610.0,13.68
ABW,2012,M,3.0,927462847.0,82.77
ABW,2012,X,0.0,527213.0,0.33
ABW,2012,X,1.0,50743087.0,32.24
ABW,2012,X,2.0,76083407.0,48.34
ABW,2012,X,3.0,30053818.0,19.09
ABW,2013,M,0.0,32349645.0,2.96
ABW,2013,M,1.0,14111794.0,1.29
ABW,2013,M,2.0,88392896.0,8.09
ABW,2013,M,3.0,958407037.0,87.66
ABW,2013,X,0.0,137797.0,0.11
ABW,2013,X,1.0,20686068.0,16.48
ABW,2013,X,2.0,73688106.0,58.71
ABW,2013,X,3.0,30989573.0,24.69
ABW,2014,M,0.0,34418424.0,2.98
ABW,2014,M,1.0,10112069.0,0.87
ABW,2014,M,2.0,115778388.0,10.01
ABW,2014,M,3.0,996443517.0,86.14
ABW,2014,X,0.0,1193423.0,1.38
ABW,2014,X,1.0,14370231.0,16.63
ABW,2014,X,2.0,43238520.0,50.05
ABW,2014,X,3.0,27596389.0,31.94
ABW,2015,M,0.0,24112407.0,2.46
ABW,2015,M,1.0,14889523.0,1.52
ABW,2015,M,2.0,101711223.0,10.39
ABW,2015,M,3.0,838274174.0,85.63
ABW,2015,X,0.0,649703.0,1.26
ABW,2015,X,1.0,4873929.0,9.44
ABW,2015,X,2.0,32494346.0,62.94
ABW,2015,X,3.0,13611661.0,26.36
ABW,2016,M,0.0,18264564.5,2.51
ABW,2016,M,1.0,14443396.81,1.98
ABW,2016,M,2.0,57938865.92,7.96
ABW,2016,M,3.0,637375711.33,87.55
ABW,2016,X,0.0,780577.31,1.6
ABW,2016,X,1.0,9651344.9,19.83
ABW,2016,X,2.0,27356315.6,56.21
ABW,2016,X,3.0,10881294.78,22.36
ABW,2017,M,0.0,27180790.192,2.72
ABW,2017,M,2.0,107497907.732,10.78
ABW,2017,M,3.0,862926868.102,86.5
ABW,2017,X,1.0,11891172.804,19.22
ABW,2017,X,2.0,22113519.962,35.74
ABW,2017,X,3.0,27873966.706,45.05
ABW,2018,M,0.0,35065642.453,3.29
ABW,2018,M,2.0,112315478.529,10.55
ABW,2018,M,3.0,917059659.5200001,86.15
ABW,2018,X,1.0,5401297.593,10.22
ABW,2018,X,2.0,17405089.946,32.94
ABW,2018,X,3.0,30029349.876999997,56.84
ABW,2019,M,0.0,43224043.31,4.0
ABW,2019,M,2.0,122096917.321,11.29
ABW,2019,M,3.0,916581271.228,84.72
ABW,2019,X,1.0,14054430.835,24.22
ABW,2019,X,2.0,12191215.252,21.01
ABW,2019,X,3.0,31776084.458,54.77
ABW,2020,M,0.0,34048101.145,4.28
ABW,2020,M,2.0,103982542.712,13.06
ABW,2020,M,3.0,657966396.822,82.66
ABW,2020,X,1.0,7077517.651,15.65
ABW,2020,X,2.0,11601540.969999999,25.66
ABW,2020,X,3.0,26541443.283999998,58.69
ABW,2021,M,0.0,39232730.732,3.84
ABW,2021,M,2.0,150558842.569,14.76
ABW,2021,M,3.0,830566368.7360001,81.4
ABW,2021,X,1.0,1256862.552,1.71
ABW,2021,X,2.0,46255766.945999995,62.83
ABW,2021,X,3.0,26111056.055999998,35.47
ABW,2022,M,0.0,57012350.034,5.18
ABW,2022,M,2.0,84731381.487,7.7
ABW,2022,M,3.0,958889162.977,87.12
ABW,2022,X,1.0,882434.624,1.23
ABW,2022,X,2.0,49831800.974,69.71
ABW,2022,X,3.0,20772495.238,29.06
ABW,2023,M,0.0,72615705.663,6.06
ABW,2023,M,2.0,97001880.756,8.1
ABW,2023,M,3.0,1028274080.916,85.84
ABW,2023,X,1.0,32970.949,0.05
ABW,2023,X,2.0,52638502.609,72.06
ABW,2023,X,3.0,20375812.561,27.89
AFG,2008,M,0.0,701590032.0,23.26
AFG,2008,M,1.0,1617132789.0,53.6
AFG,2008,M,2.0,187464765.0,6.21
AFG,2008,M,3.0,510730736.0,16.93
AFG,2008,X,0.0,35486805.0,6.57
AFG,2008,X,1.0,336686980.0,62.34
AFG,2008,X,2.0,151130032.0,27.98
AFG,2008,X,3.0,16761777.0,3.1
AFG,2009,M,0.0,531081450.0,15.92
AFG,2009,M,1.0,1975170847.0,59.22
AFG,2009,M,2.0,200480039.0,6.01
AFG,2009,M,3.0,628504937.0,18.84
AFG,2009,X,0.0,21929576.0,5.44
AFG,2009,X,1.0,275151863.0,68.2
AFG,2009,X,2.0,82997073.0,20.57
AFG,2009,X,3.0,23362494.0,5.79
AFG,2018,M,0.0,1877502098.8500001,25.72
AFG,2018,M,1.0,4672436773.28,64.02
AFG,2018,M,2.0,58320102.36000001,0.8
AFG,2018,M,3.0,690274018.88,9.46
AFG,2018,X,0.0,57030059.2,6.45
AFG,2018,X,1.0,812405269.83,91.85
AFG,2018,X,2.0,876895.84,0.1
AFG,2018,X,3.0,14131906.13,1.6
AFG,2019,M,0.0,1374691101.7100003,16.28
AFG,2019,M,1.0,5688406692.7,67.36
AFG,2019,M,2.0,70670097.11,0.84
AFG,2019,M,3.0,1310956521.93,15.52
AFG,2019,X,0.0,67627008.6,7.77
AFG,2019,X,1.0,779782057.23,89.6
AFG,2019,X,2.0,700757.9299999999,0.08
AFG,2019,X,3.0,22213490.14,2.55
AGO,2004,M,0.0,445325750.461,8.79
AGO,2004,M,1.0,175996407.375,3.47
