typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","0","W00","World","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","8462769246.193",,"8462769246.193","4","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","4","AFG","Afghanistan","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","35867.638",,"35867.638","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","20","AND","Andorra","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1393.782",,"1393.782","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","24","AGO","Angola","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","8926171.596",,"8926171.596","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","31","AZE","Azerbaijan","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","10.429",,"10.429","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","32","ARG","Argentina","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","491.2",,"491.2","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","36","AUS","Australia","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","13740221.097",,"13740221.097","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","40","AUT","Austria","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","12883148.401",,"12883148.401","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","48","BHR","Bahrain","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","147238.602",,"147238.602","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","50","BGD","Bangladesh","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","32422.642",,"32422.642","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","56","BEL","Belgium","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1203913458.24",,"1203913458.24","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","60","BMU","Bermuda","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","59.576",,"59.576","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","68","BOL","Bolivia (Plurinational State of)","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","29.4",,"29.4","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","70","BIH","Bosnia Herzegovina","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5571.764",,"5571.764","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","72","BWA","Botswana","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","464279.369",,"464279.369","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","76","BRA","Brazil","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","19604809.522",,"19604809.522","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","100","BGR","Bulgaria","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","145554.391",,"145554.391","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","104","MMR","Myanmar","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1771.502",,"1771.502","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","108","BDI","Burundi","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","152.364",,"152.364","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","112","BLR","Belarus","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","940.167",,"940.167","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","116","KHM","Cambodia","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","12552.852",,"12552.852","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","120","CMR","Cameroon","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","9920.176",,"9920.176","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","124","CAN","Canada","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","220326539.329",,"220326539.329","4","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","132","CPV","Cabo Verde","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","6.535",,"6.535","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","136","CYM","Cayman Isds","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","123.714",,"123.714","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","144","LKA","Sri Lanka","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","103371.649",,"103371.649","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","148","TCD","Chad","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","3791.712",,"3791.712","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","152","CHL","Chile","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","8048.481",,"8048.481","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","156","CHN","China","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","198235408.535",,"198235408.535","4","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","170","COL","Colombia","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","36941.057",,"36941.057","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","178","COG","Congo","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","14.92",,"14.92","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","180","COD","Dem. Rep. of the Congo","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1142347.223",,"1142347.223","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","188","CRI","Costa Rica","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","6090.46",,"6090.46","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","191","HRV","Croatia","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","94335.565",,"94335.565","0","false","true",
