reporterISO,flowCode,refYear,regime_index,primaryValue,share
BIH,M,2003,0.0,69296000.0,2.34
BIH,M,2003,1.0,73875395.0,2.49
BIH,M,2003,2.0,818281389.0,27.63
BIH,M,2003,3.0,2000395773.0,67.54
BIH,M,2004,0.0,136987431.0,3.19
BIH,M,2004,1.0,170137873.0,3.96
BIH,M,2004,2.0,1193138674.0,27.78
BIH,M,2004,3.0,2794624404.0,65.07
BIH,M,2005,0.0,255672468.0,4.05
BIH,M,2005,1.0,308409781.0,4.88
BIH,M,2005,2.0,1820674754.0,28.81
BIH,M,2005,3.0,3935479191.0,62.27
BIH,M,2006,0.0,276898241.0,3.67
BIH,M,2006,1.0,220858388.0,2.93
BIH,M,2006,2.0,2981947523.0,39.53
BIH,M,2006,3.0,4064141496.0,53.87
BIH,M,2007,0.0,467611616.0,4.82
BIH,M,2007,1.0,271330716.0,2.8
BIH,M,2007,2.0,2839816443.0,29.29
BIH,M,2007,3.0,6116046288.0,63.09
BIH,M,2008,0.0,592709302.0,4.88
BIH,M,2008,1.0,375048201.0,3.09
BIH,M,2008,2.0,3469760273.0,28.55
BIH,M,2008,3.0,7717505745.0,63.49
BIH,M,2009,0.0,399826762.0,4.79
BIH,M,2009,1.0,700143708.0,8.39
BIH,M,2009,2.0,1987642255.0,23.83
BIH,M,2009,3.0,5253827710.0,62.98
BIH,M,2010,0.0,472683844.0,5.14
BIH,M,2010,1.0,927498594.0,10.09
BIH,M,2010,2.0,2445953748.0,26.62
BIH,M,2010,3.0,5343808170.0,58.15
BIH,M,2011,0.0,584708443.0,5.3
BIH,M,2011,1.0,1433833807.0,13.0
BIH,M,2011,2.0,2731168711.0,24.77
BIH,M,2011,3.0,6278089471.0,56.93
BIH,M,2012,0.0,578304588.0,5.78
BIH,M,2012,1.0,1233768439.0,12.34
BIH,M,2012,2.0,2525986360.0,25.27
BIH,M,2012,3.0,5659658339.0,56.61
BIH,M,2013,0.0,683551355.0,6.66
BIH,M,2013,1.0,1608781842.0,15.68
BIH,M,2013,2.0,3141217303.0,30.61
BIH,M,2013,3.0,4828275369.0,47.05
BIH,M,2014,0.0,1021539901.0,9.33
BIH,M,2014,1.0,2637163588.0,24.1
BIH,M,2014,2.0,2030088407.0,18.55
BIH,M,2014,3.0,5254885141.0,48.02
BIH,M,2015,0.0,719359863.0,8.03
BIH,M,2015,1.0,2070165961.0,23.12
BIH,M,2015,2.0,1625826099.0,18.16
BIH,M,2015,3.0,4538537766.0,50.69
BIH,M,2016,0.0,709081379.0,7.8
BIH,M,2016,1.0,2034838746.0,22.37
BIH,M,2016,2.0,1923273977.0,21.14
BIH,M,2016,3.0,4429297023.0,48.69
BIH,M,2017,0.0,807114512.9700001,7.73
BIH,M,2017,1.0,2389737998.14,22.89
BIH,M,2017,2.0,2160443593.23,20.7
BIH,M,2017,3.0,5080802618.154,48.68
BIH,M,2018,0.0,871621173.41,7.52
BIH,M,2018,1.0,3040652965.426,26.24
BIH,M,2018,2.0,2042873470.03,17.63
BIH,M,2018,3.0,5634673470.304999,48.62
BIH,M,2019,0.0,889091055.2,7.99
BIH,M,2019,1.0,2651242205.5860004,23.83
BIH,M,2019,2.0,2167398338.242,19.48
BIH,M,2019,3.0,5418716295.091,48.7
BIH,M,2020,0.0,859849816.68,8.74
BIH,M,2020,1.0,2399572244.6400003,24.4
BIH,M,2020,2.0,1998267041.83,20.32
BIH,M,2020,3.0,4578221157.862,46.55
BIH,M,2021,0.0,1243615131.06,9.57
BIH,M,2021,1.0,3264451834.52,25.13
BIH,M,2021,2.0,3649146491.122,28.09
BIH,M,2021,3.0,4834332366.938,37.21
BIH,M,2022,0.0,1494866635.21,9.74
BIH,M,2022,1.0,4023383015.29,26.23
BIH,M,2022,2.0,3587151626.3399997,23.38
BIH,M,2022,3.0,6236261367.391,40.65
BIH,M,2023,0.0,1665567919.987,10.88
BIH,M,2023,1.0,3539930113.781,23.12
