reporterISO,flowCode,refYear,regime_index,primaryValue,share
AUS,M,2000,0.0,9889855180.0,14.31
AUS,M,2000,1.0,5095485277.0,7.37
AUS,M,2000,2.0,5983572152.0,8.66
AUS,M,2000,3.0,48154206094.0,69.66
AUS,M,2001,0.0,9448796864.0,15.16
AUS,M,2001,1.0,4417289149.0,7.09
AUS,M,2001,2.0,5958524105.0,9.56
AUS,M,2001,3.0,42509906994.0,68.2
AUS,M,2002,0.0,10670149750.0,15.1
AUS,M,2002,1.0,5142622265.0,7.28
AUS,M,2002,2.0,6845177258.0,9.69
AUS,M,2002,3.0,48013074278.0,67.94
AUS,M,2003,0.0,13954632997.0,16.18
AUS,M,2003,1.0,6313398693.0,7.32
AUS,M,2003,2.0,8934957685.0,10.36
AUS,M,2003,3.0,57018147817.0,66.13
AUS,M,2004,0.0,19058999297.0,17.98
AUS,M,2004,1.0,9997685652.0,9.43
AUS,M,2004,2.0,9735658715.0,9.19
AUS,M,2004,3.0,67185917114.0,63.4
AUS,M,2005,0.0,23303997383.0,19.18
AUS,M,2005,1.0,12935894806.0,10.65
AUS,M,2005,2.0,11556205147.0,9.51
AUS,M,2005,3.0,73683181516.0,60.65
AUS,M,2006,0.0,28266200410.0,21.0
AUS,M,2006,1.0,19918218557.0,14.8
AUS,M,2006,2.0,8686051416.0,6.45
AUS,M,2006,3.0,77743452460.0,57.75
AUS,M,2007,0.0,41692167669.0,26.09
AUS,M,2007,1.0,19154765943.0,11.99
AUS,M,2007,2.0,8425804757.0,5.27
AUS,M,2007,3.0,90504966783.0,56.64
AUS,M,2008,0.0,41799410031.0,21.74
AUS,M,2008,1.0,35622595939.0,18.53
AUS,M,2008,2.0,9999190143.0,5.2
AUS,M,2008,3.0,104859038786.0,54.53
AUS,M,2009,0.0,35694935170.0,23.34
AUS,M,2009,1.0,28087807760.0,18.36
AUS,M,2009,2.0,7934393044.0,5.19
AUS,M,2009,3.0,81249322131.0,53.12
AUS,M,2010,0.0,46248811349.0,24.32
AUS,M,2010,1.0,34779035567.0,18.29
AUS,M,2010,2.0,11294859039.0,5.94
AUS,M,2010,3.0,97850862739.0,51.45
AUS,M,2011,0.0,53844724345.0,24.5
AUS,M,2011,1.0,41980783894.0,19.1
AUS,M,2011,2.0,13496735667.0,6.14
AUS,M,2011,3.0,110483258505.0,50.26
AUS,M,2012,0.0,55692150773.0,23.45
AUS,M,2012,1.0,44342311440.0,18.67
AUS,M,2012,2.0,17268693344.0,7.27
AUS,M,2012,3.0,120196553440.0,50.61
AUS,M,2013,0.0,54673569779.0,25.21
AUS,M,2013,1.0,39469253110.0,18.2
AUS,M,2013,2.0,16376367343.0,7.55
AUS,M,2013,3.0,106383452852.0,49.05
AUS,M,2014,0.0,65976262278.0,30.51
AUS,M,2014,1.0,30069986960.0,13.91
AUS,M,2014,2.0,15696071317.0,7.26
AUS,M,2014,3.0,104505403753.0,48.33
AUS,M,2015,0.0,63495621690.0,33.29
AUS,M,2015,1.0,19450658596.0,10.2
AUS,M,2015,2.0,13360590526.0,7.0
AUS,M,2015,3.0,94438312684.0,49.51
AUS,M,2016,0.0,61433518194.0,33.38
AUS,M,2016,1.0,18132710527.0,9.85
AUS,M,2016,2.0,13401271206.0,7.28
AUS,M,2016,3.0,91054808035.0,49.48
AUS,M,2017,0.0,68005242838.234,32.37
AUS,M,2017,1.0,25198593386.07,12.0
AUS,M,2017,2.0,10894171632.422,5.19
AUS,M,2017,3.0,105970862425.358,50.45
AUS,M,2018,0.0,73043339014.564,32.56
AUS,M,2018,1.0,35167967198.576,15.68
AUS,M,2018,2.0,11105138897.136,4.95
AUS,M,2018,3.0,105027534157.662,46.82
AUS,M,2019,0.0,70327602967.736,33.28
AUS,M,2019,1.0,30762536179.533,14.56
AUS,M,2019,2.0,10715610422.266,5.07
AUS,M,2019,3.0,99531553097.628,47.1
AUS,M,2020,0.0,73654094493.235,36.39
AUS,M,2020,1.0,27823345418.889,13.75
AUS,M,2020,2.0,13115931971.108,6.48
AUS,M,2020,3.0,87821676210.114,43.39
AUS,M,2021,0.0,93932905782.604,37.87
AUS,M,2021,1.0,33988896697.507,13.7
AUS,M,2021,2.0,14590258233.3,5.88
AUS,M,2021,3.0,105503870363.832,42.54
AUS,M,2022,0.0,109129037775.779,37.53
AUS,M,2022,1.0,42111629157.763,14.48
AUS,M,2022,2.0,18149540113.449,6.24
AUS,M,2022,3.0,121387036868.643,41.75
AUS,M,2023,0.0,82530617259.59698,30.16
AUS,M,2023,1.0,37572976465.418,13.73
