reporterISO,flowCode,refYear,regime_index,primaryValue,share
AUS,M,2000,0.0,9632870626.0,13.94
AUS,M,2000,1.0,5125177872.0,7.41
AUS,M,2000,2.0,6210864111.0,8.99
AUS,M,2000,3.0,48154206094.0,69.66
AUS,M,2001,0.0,9448859413.0,15.16
AUS,M,2001,1.0,4452773281.0,7.14
AUS,M,2001,2.0,5922977424.0,9.5
AUS,M,2001,3.0,42509906994.0,68.2
AUS,M,2002,0.0,10909653914.0,15.44
AUS,M,2002,1.0,4924316537.0,6.97
AUS,M,2002,2.0,6823978822.0,9.66
AUS,M,2002,3.0,48013074278.0,67.94
AUS,M,2003,0.0,13954662363.0,16.18
AUS,M,2003,1.0,6472005757.0,7.51
AUS,M,2003,2.0,8779229938.0,10.18
AUS,M,2003,3.0,57015239134.0,66.13
AUS,M,2004,0.0,19059156199.0,17.98
AUS,M,2004,1.0,9432850267.0,8.9
AUS,M,2004,2.0,10302163691.0,9.72
AUS,M,2004,3.0,67184090621.0,63.39
AUS,M,2005,0.0,23302839723.0,19.18
AUS,M,2005,1.0,12866498817.0,10.59
AUS,M,2005,2.0,11629690080.0,9.57
AUS,M,2005,3.0,73680250232.0,60.65
AUS,M,2006,0.0,28266980961.0,21.0
AUS,M,2006,1.0,14878977353.0,11.05
AUS,M,2006,2.0,13724512069.0,10.2
AUS,M,2006,3.0,77743452460.0,57.75
AUS,M,2007,0.0,34653431684.0,21.69
AUS,M,2007,1.0,24010649784.0,15.03
AUS,M,2007,2.0,10612739307.0,6.64
AUS,M,2007,3.0,90500884377.0,56.64
AUS,M,2008,0.0,50809391430.0,26.42
AUS,M,2008,1.0,26607736528.0,13.84
AUS,M,2008,2.0,10004081243.0,5.2
AUS,M,2008,3.0,104859025698.0,54.53
AUS,M,2009,0.0,35693825438.0,23.33
AUS,M,2009,1.0,28079675671.0,18.36
AUS,M,2009,2.0,7946983247.0,5.2
AUS,M,2009,3.0,81245973749.0,53.11
AUS,M,2010,0.0,46245983965.0,24.32
AUS,M,2010,1.0,35221029153.0,18.52
AUS,M,2010,2.0,10431177162.0,5.49
AUS,M,2010,3.0,98275378414.0,51.68
AUS,M,2011,0.0,53860849422.0,24.5
AUS,M,2011,1.0,41962825803.0,19.09
AUS,M,2011,2.0,13498568681.0,6.14
AUS,M,2011,3.0,110483258505.0,50.26
AUS,M,2012,0.0,56850495096.0,23.94
AUS,M,2012,1.0,45920518550.0,19.33
AUS,M,2012,2.0,14532141911.0,6.12
AUS,M,2012,3.0,120196553440.0,50.61
AUS,M,2013,0.0,54651777983.0,25.2
AUS,M,2013,1.0,39676067445.0,18.29
AUS,M,2013,2.0,15306307926.0,7.06
AUS,M,2013,3.0,107268489730.0,49.45
AUS,M,2014,0.0,56306629622.0,26.04
AUS,M,2014,1.0,39755333079.0,18.38
AUS,M,2014,2.0,15681671887.0,7.25
AUS,M,2014,3.0,104504089720.0,48.33
AUS,M,2015,0.0,63495621690.0,33.29
AUS,M,2015,1.0,19611054746.0,10.28
AUS,M,2015,2.0,13194595447.0,6.92
AUS,M,2015,3.0,94443911613.0,49.51
AUS,M,2016,0.0,61433501317.0,33.38
AUS,M,2016,1.0,18148038943.0,9.86
AUS,M,2016,2.0,12671974325.0,6.89
AUS,M,2016,3.0,91768793377.0,49.87
AUS,M,2017,0.0,68005242838.234,32.37
AUS,M,2017,1.0,21163080735.922,10.07
AUS,M,2017,2.0,14946230759.871,7.11
AUS,M,2017,3.0,105954315948.057,50.44
AUS,M,2018,0.0,77675215529.66,34.62
AUS,M,2018,1.0,29504933542.408,13.15
AUS,M,2018,2.0,11764391800.292,5.24
AUS,M,2018,3.0,105399438395.578,46.98
AUS,M,2019,0.0,70327969584.683,33.28
AUS,M,2019,1.0,30806854709.399002,14.58
AUS,M,2019,2.0,10339021160.201,4.89
AUS,M,2019,3.0,99863457212.88,47.25
AUS,M,2020,0.0,73653783991.086,36.39
AUS,M,2020,1.0,27698752373.485,13.68
AUS,M,2020,2.0,10948694693.483,5.41
AUS,M,2020,3.0,90113817035.292,44.52
AUS,M,2021,0.0,88152569374.768,35.54
AUS,M,2021,1.0,39672520248.86,16.0
AUS,M,2021,2.0,15495234453.013,6.25
AUS,M,2021,3.0,104695607000.60199,42.21
AUS,M,2022,0.0,109125656878.19699,37.53
AUS,M,2022,1.0,42088531970.226,14.47
AUS,M,2022,2.0,16182680215.267,5.57
AUS,M,2022,3.0,123380374851.944,42.43
AUS,M,2023,0.0,95613791512.13399,34.94
AUS,M,2023,1.0,37399205183.469,13.67
AUS,M,2023,2.0,17698371615.329,6.47
AUS,M,2023,3.0,122944317703.906,44.93
AUS,M,2024,0.0,88196548661.853,31.23
AUS,M,2024,1.0,39660097136.773,14.04
AUS,M,2024,2.0,32923143702.968002,11.66
AUS,M,2024,3.0,121615905830.607,43.07
AUS,X,2000,0.0,8056719384.0,13.7
AUS,X,2000,1.0,6389330855.0,10.86
AUS,X,2000,2.0,7047457690.0,11.98
AUS,X,2000,3.0,37332851436.0,63.46
AUS,X,2001,0.0,9933835165.0,16.85
AUS,X,2001,1.0,5757057642.0,9.77
AUS,X,2001,2.0,6383122564.0,10.83
AUS,X,2001,3.0,36877539308.0,62.56
AUS,X,2002,0.0,10320018294.0,16.88
AUS,X,2002,1.0,5532526291.0,9.05
AUS,X,2002,2.0,6709465270.0,10.98
AUS,X,2002,3.0,38569362972.0,63.09
AUS,X,2003,0.0,10926853218.0,16.44
AUS,X,2003,1.0,5302399220.0,7.98
